word_in_doc,similarity,actual_medical_word
out,86,Gout
misscarriage,87,Miscarriage
all,86,Fall
out,86,Gout
miscarriage,91,Miscarriage
eating,86,Sweating
all,86,Fall
farIrregular Periods,86,Irregular periods
out,86,Gout
out,86,Gout
out,86,Gout
constipation,92,Constipation
diarrhea,88,Diarrhea
all,86,Fall
diarrhea,88,Diarrhea
constipation,92,Constipation
all,86,Fall
difference,91,Indifference
dry lips,88,Dry lips
differencei,87,Indifference
confused,88,Confused
breast tenderness,94,Breast tenderness
tenderness,90,Tenderness
out,86,Gout
Pain,100,Pain
MS,100,MS
age,86,Rage
all,86,Fall
old,86,Cold
age,86,Rage
cataract,88,Cataract
frustration,91,Frustration
old,86,Cold
old,86,Cold
constipation,92,Constipation
Autism,100,Autism
out,86,Gout
constipation,92,Constipation
constipation,92,Constipation
all,86,Fall
old,86,Cold
normal behavior,91,Abnormal behaviour
age,86,Rage
old,86,Cold
out,86,Gout
out,86,Gout
shingles,88,Shingles
"runny nose,",86,Runny nose
all,86,Fall
ever,89,Fever
out,86,Gout
old,86,Cold
out,86,Gout
old,86,Cold
out,86,Gout
out,86,Gout
ever,89,Fever
out,86,Gout
diarrhea,88,Diarrhea
age,86,Rage
out,86,Gout
old,86,Cold
"ADHD,",89,ADHD
"Agressiveness,",93,Aggressiveness
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
all,86,Fall
insomnia,88,Insomnia
old,86,Cold
out,86,Gout
"hyperactivity,",89,Hyperactivity
out,86,Gout
age,86,Rage
all,86,Fall
old,86,Cold
old,86,Cold
out,86,Gout
all,86,Fall
all,86,Fall
old,86,Cold
out,86,Gout
old,86,Cold
Could,89,Cold
eating,86,Sweating
ever,89,Fever
Cancer,100,Cancer
out,86,Gout
withdrawn,89,Withdrawn
ever,89,Fever
all,86,Fall
out,86,Gout
out,86,Gout
tenderness,90,Tenderness
all,86,Fall
out,86,Gout
coughing,88,Coughing
hot flashes,91,Hot flashes
Could,89,Cold
hot flashes,91,Hot flashes
miscarriage,91,Miscarriage
miscarriage,91,Miscarriage
old,86,Cold
old,86,Cold
old,86,Cold
old,86,Cold
all,86,Fall
food poisoning,93,Food poisoning
poisoning,89,Poisoning
old,86,Cold
chest pain,90,Chest pain
gall stones,86,Gallstones
all,86,Fall
"Celiac Disease,",90,Celiac disease
ever,89,Fever
"feeling sick,",88,Feeling sick
all,86,Fall
blood pressure,88,Low blood pressure
all,86,Fall
eating,86,Sweating
old,86,Cold
swelling,88,Swelling
out,86,Gout
old,86,Cold
out,86,Gout
out,86,Gout
all,86,Fall
out,86,Gout
bleeding,88,Bleeding
out,86,Gout
old,86,Cold
eye disease,87,Lyme disease
cataracts,89,Cataracts
out,86,Gout
age,86,Rage
old,86,Cold
all,86,Fall
old,86,Cold
chest pain,90,Chest pain
Could,89,Cold
old,86,Cold
fertility,90,Infertility
all,86,Fall
age,86,Rage
abdominal cramps,94,Abdominal cramps
abdominal cramps,94,Abdominal cramps
back pain,89,Back pain
constipation,92,Constipation
back pain,89,Back pain
confused,88,Confused
old,86,Cold
ever,89,Fever
out,86,Gout
out,86,Gout
cataract,88,Cataract
astigmatism,91,Astigmatism
astigmatism,91,Astigmatism
weakness,88,Weakness
astigmatism?,87,Astigmatism
all,86,Fall
fracture,88,Fracture
old,86,Cold
all,86,Fall
all,86,Fall
ever,89,Fever
all,86,Fall
old,86,Cold
light-headedness,90,Lightheadedness
abdominal discomfort,95,Abdominal discomfort
discomfort,90,Discomfort
all,86,Fall
eating,86,Sweating
old,86,Cold
out,86,Gout
all,86,Fall
old,86,Cold
old,86,Cold
pimples,86,Pimples
confused,88,Confused
old,86,Cold
vaginal infection,94,Vaginal infection
infection,89,Infection
yeast infection,93,Yeast infection
infection,89,Infection
infection,89,Infection
bloody discharge,94,Bloody discharge
a burning,86,Pain burning
burning sensation,94,Burning sensation
infection,89,Infection
out,86,Gout
infection,89,Infection
chest pain,90,Chest pain
overweight,90,Overweight
ever,89,Fever
stomach pain,92,Stomach pain
all,86,Fall
arthritis,89,Arthritis
all,86,Fall
all,86,Fall
swelling,88,Swelling
allergice reation,88,Allergic reaction
dry skin,88,Dry skin
itching,88,Twitching
bleeding,88,Bleeding
all,86,Fall
weight loss,91,Weight loss
out,86,Gout
confused,88,Confused
ever,89,Fever
out,86,Gout
old,86,Cold
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
numbness,88,Numbness
mouth ulcer,91,Mouth ulcer
sinus infection,93,Sinus infection
infection,89,Infection
numbness,88,Numbness
tingling,88,Stinging
out,86,Gout
mouth ulcers,87,Mouth ulcer
out,86,Gout
clear discharge,86,Ear discharge
out,86,Gout
out,86,Gout
old,86,Cold
all,86,Fall
anxiety,86,Anxiety
bleeding,88,Bleeding
switching,89,Twitching
weight gain,91,Weight gain
out,86,Gout
all,86,Fall
all,86,Fall
testicular pain,93,Testicular pain
all,86,Fall
all,86,Fall
eating,86,Sweating
out,86,Gout
out,86,Gout
out,86,Gout
old,86,Cold
ADD,86,ADHD
out,86,Gout
old,86,Cold
bleeding,88,Bleeding
bleeding,88,Bleeding
out,86,Gout
Bleeding,100,Bleeding
old,86,Cold
all,86,Fall
old,86,Cold
age,86,Rage
in eating,86,Binge eating
eating,86,Sweating
out,86,Gout
out,86,Gout
out,86,Gout
all,86,Fall
old,86,Cold
all,86,Fall
Lymphoma,100,Lymphoma
out,86,Gout
out,86,Gout
allergy,86,Allergy
old,86,Cold
all,86,Fall
panic attcks,88,Panic attacks
old,86,Cold
oil,86,Boil
out,86,Gout
all,86,Fall
all,86,Fall
out,86,Gout
are infection,92,Ear infection
infection,89,Infection
all,86,Fall
moodswings,86,Mood swings
irritability,92,Irritability
out,86,Gout
anxiety,86,Anxiety
out,86,Gout
all,86,Fall
heart attack,92,Heart attack
heart attack,92,Heart attack
out,86,Gout
age,86,Rage
all,86,Fall
old,86,Cold
out,86,Gout
all,86,Fall
tension,86,Tension
eating,86,Sweating
all,86,Fall
spina bifida,92,Spina bifida
all,86,Fall
sore throat,91,Sore throat
sore throat,91,Sore throat
sore throat,91,Sore throat
all,86,Fall
yeast infections,90,Yeast infection
all,86,Fall
out,86,Gout
all,86,Fall
yeast infection,93,Yeast infection
infection,89,Infection
oil,86,Boil
my infection,88,Eye infection
infection,89,Infection
"yeast infection,",90,Yeast infection
all,86,Fall
out,86,Gout
eating,86,Sweating
all,86,Fall
diabetes,88,Diabetes
bleeding,88,Bleeding
bleeding,88,Bleeding
all,86,Fall
out,86,Gout
out,86,Gout
bleeding,88,Bleeding
detached retina,93,Detached retina
cataract,88,Cataract
retinal tears,88,Retinal tear
cataract,88,Cataract
blurred vision,93,Blurred vision
all,86,Fall
"yeast infection,",90,Yeast infection
all,86,Fall
dry skin,88,Dry skin
all,86,Fall
out,86,Gout
"sinus, pain",86,Sinus pain
out,86,Gout
rising,86,Bruising
numbness,88,Numbness
bladder spasms,89,Bladder spasm
age,86,Rage
fertility,90,Infertility
Hypothyroidism,100,Hypothyroidism
Hypothyroidism,100,Hypothyroidism
all,86,Fall
a fever,88,Hay fever
out,86,Gout
eating,86,Sweating
out,86,Gout
sweating,88,Sweating
sweating,88,Sweating
hair loss,89,Hair loss
out,86,Gout
sweating,88,Sweating
confused,88,Confused
all,86,Fall
out,86,Gout
all,86,Fall
out,86,Gout
diabetes,88,Diabetes
ever,89,Fever
"irregular periods,",91,Irregular periods
clear discharge,86,Ear discharge
"discomfort,",86,Discomfort
"breast pain,",87,Breast pain
passed out,90,Passed out
out,86,Gout
out,86,Gout
swelling,88,Swelling
swelling,88,Swelling
swelling,88,Swelling
an attack,86,Panic attack
redness,88,Tiredness
or swelling,87,Ear swelling
swelling,88,Swelling
Could,89,Cold
bruising,88,Bruising
"""muscle wasting""",87,Muscle wasting
all,86,Fall
out,86,Gout
ever,89,Fever
all,86,Fall
"breast tenderness,",91,Breast tenderness
"tenderness,",86,Tenderness
all,86,Fall
out,86,Gout
all,86,Fall
all,86,Fall
all,86,Fall
miscarriage,91,Miscarriage
miscarriage,91,Miscarriage
miscarriage,91,Miscarriage
eating,86,Sweating
eating,86,Sweating
eating,86,Sweating
eating,86,Sweating
yeast infections,90,Yeast infection
yeast infection),90,Yeast infection
"yeast infections,",88,Yeast infection
bloody discharge,94,Bloody discharge
a burning,86,Pain burning
burning sensation,94,Burning sensation
yeast infection?,90,Yeast infection
old,86,Cold
old,86,Cold
Delicious,89,Delirious
heart attacks,88,Heart attack
all,86,Fall
Spina Bifida,92,Spina bifida
old,86,Cold
old,86,Cold
out,86,Gout
Could,89,Cold
seizure,86,Seizure
out,86,Gout
out,86,Gout
seizure,86,Seizure
bleeding,88,Bleeding
all,86,Fall
old,86,Cold
all,86,Fall
"bacterial infections,",90,Bacterial infection
all,86,Fall
all,86,Fall
psoriasis,89,Psoriasis
all,86,Fall
redness,88,Tiredness
nightmare,89,Nightmare
all,86,Fall
whole abdomen,86,Swollen abdomen
all,86,Fall
nervous,86,Nervous
old,86,Cold
old,86,Cold
out,86,Gout
eating,86,Sweating
feeling sick,92,Feeling sick
out,86,Gout
eating,86,Sweating
out,86,Gout
"weight loss,",87,Weight loss
out,86,Gout
all,86,Fall
old,86,Cold
out,86,Gout
shaking,86,Shaking
all,86,Fall
shooting pain,92,Shooting pain
osteoarthrisis,86,Osteoarthritis
weakness,88,Weakness
all,86,Fall
bleeding,88,Bleeding
out,86,Gout
Schizophrenia,100,Schizophrenia
difference,91,Indifference
Could,89,Cold
old,86,Cold
discomfort,90,Discomfort
ever,89,Fever
blisters,88,Blisters
all,86,Fall
all,86,Fall
all,86,Fall
old,86,Cold
out,86,Gout
all,86,Fall
out,86,Gout
ever,89,Fever
out,86,Gout
all,86,Fall
all,86,Fall
out,86,Gout
bleeding,88,Bleeding
all,86,Fall
hair loss,89,Hair loss
all,86,Fall
out,86,Gout
out,86,Gout
a burning,86,Pain burning
burning tongue,93,Burning tongue
all,86,Fall
out,86,Gout
old,86,Cold
all,86,Fall
eating,86,Sweating
all,86,Fall
hepatitis,89,Hepatitis
out,86,Gout
violent,86,Violent
shaking,86,Shaking
all,86,Fall
ever,89,Fever
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
old,86,Cold
all,86,Fall
age,86,Rage
uterine cancer,93,Uterine cancer
all,86,Fall
all,86,Fall
eating,86,Sweating
out,86,Gout
out,86,Gout
all,86,Fall
weight gain,91,Weight gain
out,86,Gout
all,86,Fall
nose bleed,90,Nose bleed
Could,89,Cold
infection,89,Infection
infection,89,Infection
all,86,Fall
out,86,Gout
all,86,Fall
old,86,Cold
out,86,Gout
miscarriage),87,Miscarriage
all,86,Fall
age,86,Rage
"nervousness,",87,Nervousness
old,86,Cold
out,86,Gout
ADHD,100,ADHD
all,86,Fall
all,86,Fall
age,86,Rage
really ache,86,Belly ache
"kidney stones,",89,Kidney stones
no discomfort,86,Foot discomfort
discomfort,90,Discomfort
all,86,Fall
oil,86,Boil
miscarriage,91,Miscarriage
out,86,Gout
out,86,Gout
all,86,Fall
nauseous,88,Nauseous
old,86,Cold
"night sweats,",88,Night sweats
arthritis,89,Arthritis
palpitations,92,Palpitations
out,86,Gout
appendicitis,92,Appendicitis
all,86,Fall
all,86,Fall
all,86,Fall
out,86,Gout
diarrhea,88,Diarrhea
dizziness,89,Dizziness
all,86,Fall
old,86,Cold
all,86,Fall
Lyme disease,100,Lyme disease
malnutrition,92,Malnutrition
all,86,Fall
out,86,Gout
old,86,Cold
out,86,Gout
ovarian cysts,88,Ovarian cyst
ovarian cysts,88,Ovarian cyst
ovarian cysts,88,Ovarian cyst
old,86,Cold
all,86,Fall
out,86,Gout
flushed,86,Flushed
out,86,Gout
out,86,Gout
anxiety,86,Anxiety
blisters,88,Blisters
old,86,Cold
old,86,Cold
Could,89,Cold
Could,89,Cold
out,86,Gout
confused,88,Confused
all,86,Fall
out,86,Gout
old,86,Cold
lethargic,89,Lethargic
"bladder pain,",88,Bladder pain
infection,89,Infection
eating,86,Sweating
diarrhea,88,Diarrhea
all,86,Fall
nauseated,89,Nauseated
diarrhea,88,Diarrhea
diarrhea,88,Diarrhea
slight periods,89,Light periods
all,86,Fall
all,86,Fall
ADHD,100,ADHD
old,86,Cold
ever,89,Fever
out,86,Gout
out,86,Gout
ADHD,100,ADHD
bedwetting,86,Bed wetting
all,86,Fall
ADHD,100,ADHD
confused,88,Confused
all,86,Fall
out,86,Gout
all,86,Fall
all,86,Fall
toAggressive Behavior,90,Aggressive behavior
old,86,Cold
out,86,Gout
vertigo,86,Vertigo
old,86,Cold
confused,88,Confused
Cysts,89,Cyst
vaginal infections,91,Vaginal infection
old,86,Cold
out,86,Gout
out,86,Gout
liver failure,92,Liver failure
"liver failure,",89,Liver failure
liver failureI,89,Liver failure
age,86,Rage
old,86,Cold
all,86,Fall
old,86,Cold
screaming,89,Screaming
nightmares,90,Nightmares
out,86,Gout
old,86,Cold
"Screaming,",95,Screaming
all,86,Fall
all,86,Fall
out,86,Gout
all,86,Fall
old,86,Cold
gasping,86,Gasping
old,86,Cold
bleeding,88,Bleeding
out,86,Gout
all,86,Fall
cataracts,89,Cataracts
out,86,Gout
all,86,Fall
tingling,88,Stinging
a dischage,87,Ear discharge
stomach pain,92,Stomach pain
all,86,Fall
weight gain,91,Weight gain
old,86,Cold
Could,89,Cold
appendicitis,92,Appendicitis
old,86,Cold
all,86,Fall
out,86,Gout
out,86,Gout
fatigue,86,Fatigue
all,86,Fall
dizzy spell,87,Dizzy spells
old,86,Cold
old,86,Cold
all,86,Fall
confused,88,Confused
heart attack,92,Heart attack
diabetes,88,Diabetes
heart attacks,88,Heart attack
itching,88,Twitching
out,86,Gout
out,86,Gout
out,86,Gout
swelling,88,Swelling
all,86,Fall
out,86,Gout
all,86,Fall
all,86,Fall
Could,89,Cold
all,86,Fall
swelling,88,Swelling
all,86,Fall
old,86,Cold
out,86,Gout
mood swingsI,87,Mood swings
ovarian cancer,93,Ovarian cancer
out,86,Gout
itching,88,Twitching
all,86,Fall
yeast infection,93,Yeast infection
infection,89,Infection
eating,86,Sweating
all,86,Fall
old,86,Cold
old,86,Cold
diarrhea,88,Diarrhea
all,86,Fall
out,86,Gout
old,86,Cold
eating,86,Sweating
old,86,Cold
all,86,Fall
fatigue,86,Fatigue
confusion,89,Confusion
all,86,Fall
old,86,Cold
out,86,Gout
all,86,Fall
meningioma,90,Meningioma
Could,89,Cold
all,86,Fall
all,86,Fall
out,86,Gout
old,86,Cold
all,86,Fall
out,86,Gout
numbness,88,Numbness
ever,89,Fever
out,86,Gout
vision loss,91,Vision loss
out,86,Gout
fracture,88,Fracture
old,86,Cold
old,86,Cold
out,86,Gout
out,86,Gout
lung infections,90,Lung infection
all,86,Fall
"night terrors,",89,Night terrors
screaming,89,Screaming
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
all,86,Fall
discomfort,90,Discomfort
discomfort,90,Discomfort
out,86,Gout
out,86,Gout
all,86,Fall
out,86,Gout
Pain,100,Pain
weakness,88,Weakness
nightmare,89,Nightmare
all,86,Fall
ash,86,Rash
ash,86,Rash
out,86,Gout
twitching,89,Twitching
out,86,Gout
ever,89,Fever
age,86,Rage
migraine,88,Migraine
tension,86,Tension
headache,88,Headache
blacked out,91,Blacked out
out,86,Gout
an infection,88,Ear infection
infection,89,Infection
out,86,Gout
blood pressure,88,Low blood pressure
all,86,Fall
old,86,Cold
old,86,Cold
nose bleeds,86,Nose bleed
and ash,88,Hand rash
ash,86,Rash
twitching,89,Twitching
ash,86,Rash
all,86,Fall
weight loss,91,Weight loss
out,86,Gout
Prostate cancer,100,Prostate cancer
age,86,Rage
age,86,Rage
fatigue,86,Fatigue
infection,89,Infection
prostate cancer,93,Prostate cancer
prostate cancer,93,Prostate cancer
ever,89,Fever
age,86,Rage
age,86,Rage
all,86,Fall
miscarriage,91,Miscarriage
bleeding,88,Bleeding
bleeding,88,Bleeding
miscarriage,91,Miscarriage
back pain,89,Back pain
miscarriage,91,Miscarriage
all,86,Fall
all,86,Fall
old,86,Cold
all,86,Fall
age,86,Rage
age,86,Rage
out,86,Gout
all,86,Fall
kidney infection,94,Kidney infection
infection,89,Infection
kidney infection,94,Kidney infection
infection,89,Infection
out,86,Gout
out,86,Gout
age,86,Rage
old,86,Cold
old,86,Cold
out,86,Gout
out,86,Gout
confused,88,Confused
am bleeding,87,Gum bleeding
bleeding,88,Bleeding
out,86,Gout
Fibromyalgia,100,Fibromyalgia
out,86,Gout
ever,89,Fever
out,86,Gout
all,86,Fall
screaming,89,Screaming
out,86,Gout
all,86,Fall
allergic reaction,94,Allergic reaction
out,86,Gout
old,86,Cold
out,86,Gout
eating,86,Sweating
ever,89,Fever
seizure,86,Seizure
out,86,Gout
all,86,Fall
seizure,86,Seizure
all,86,Fall
spider veins,87,Spider vein
liters,86,Blisters
eating,86,Sweating
eating,86,Sweating
old,86,Cold
breast pain,91,Breast pain
all,86,Fall
out,86,Gout
out,86,Gout
numbness,88,Numbness
numbness,88,Numbness
all,86,Fall
old,86,Cold
Could,89,Cold
confused,88,Confused
itching,88,Twitching
redness,88,Tiredness
infection,89,Infection
itching,88,Twitching
diabetic,88,Diabetic
out,86,Gout
old,86,Cold
all,86,Fall
all,86,Fall
had dreams,90,Bad dreams
screaming,89,Screaming
rising,86,Bruising
old,86,Cold
old,86,Cold
old,86,Cold
old,86,Cold
violent,86,Violent
all,86,Fall
out,86,Gout
old,86,Cold
all,86,Fall
sickness,88,Sickness
abdominal pains,90,Abdominal pain
appdendicitis,88,Appendicitis
all,86,Fall
burping,86,Burping
all,86,Fall
old,86,Cold
out,86,Gout
out,86,Gout
a pain,86,Ear pain
seizure,86,Seizure
differences,87,Indifference
all,86,Fall
all,86,Fall
out,86,Gout
out,86,Gout
old,86,Cold
Pain,100,Pain
Could,89,Cold
old,86,Cold
open wound,90,Open wound
the ulceration,87,Mouth ulceration
out,86,Gout
a pain,86,Ear pain
old,86,Cold
all,86,Fall
old,86,Cold
old,86,Cold
out,86,Gout
passed out,90,Passed out
out,86,Gout
anxiety,86,Anxiety
passed out,90,Passed out
out,86,Gout
all,86,Fall
weight loss,91,Weight loss
all,86,Fall
obesity,86,Obesity
weight loss,91,Weight loss
infertility,91,Infertility
all,86,Fall
obesity,86,Obesity
obesity,86,Obesity
old,86,Cold
eating,86,Sweating
ever,89,Fever
out,86,Gout
all,86,Fall
tingling,88,Stinging
Headaches,94,Headache
out,86,Gout
blurred vision,93,Blurred vision
MS,100,MS
vertigo,86,Vertigo
tingling,88,Stinging
all,86,Fall
all,86,Fall
inflammation,92,Inflammation
blurred vision,93,Blurred vision
numbness,88,Numbness
tingling,88,Stinging
age,86,Rage
old,86,Cold
regurgitation,92,Regurgitation
all,86,Fall
all,86,Fall
cardiac arrest,93,Cardiac arrest
out,86,Gout
out,86,Gout
ever,89,Fever
stinging,88,Stinging
out,86,Gout
old,86,Cold
rheumatoid arthritis,95,Rheumatoid arthritis
arthritis,89,Arthritis
enlarge prostate,91,Enlarged prostate
out,86,Gout
all,86,Fall
old,86,Cold
vaginal pain,92,Vaginal pain
a burning,86,Pain burning
burning sensation,94,Burning sensation
allergy,86,Allergy
out,86,Gout
all,86,Fall
out,86,Gout
all,86,Fall
yeast infections,90,Yeast infection
all,86,Fall
all,86,Fall
nightmare,89,Nightmare
Could,89,Cold
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
ear,86,Fear
all,86,Fall
discoloration,87,Gum discoloration
out,86,Gout
out,86,Gout
ever,89,Fever
out,86,Gout
out,86,Gout
out,86,Gout
all,86,Fall
anxiety,86,Anxiety
anxiety,86,Anxiety
headache,88,Headache
all,86,Fall
irregular periods,94,Irregular periods
Could,89,Cold
hotflashes,86,Hot flashes
nightsweats,87,Night sweats
out,86,Gout
out,86,Gout
ovarian cyst,92,Ovarian cyst
whole abdomen,86,Swollen abdomen
out,86,Gout
arteriosclerosis,94,Arteriosclerosis
out,86,Gout
After that,86,After taste
fertility,90,Infertility
fertility,90,Infertility
out,86,Gout
ever,89,Fever
old,86,Cold
retinal tear,92,Retinal tear
all,86,Fall
eye pain,88,Eye pain
retinal tear,92,Retinal tear
blindness,89,Blindness
old,86,Cold
out,86,Gout
all,86,Fall
dizziness,89,Dizziness
out,86,Gout
out,86,Gout
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
ever,89,Fever
ear,86,Fear
screaming,89,Screaming
ear,86,Fear
infection,89,Infection
eating,86,Sweating
ear,86,Fear
old,86,Cold
all,86,Fall
the discomfort,87,Chest discomfort
discomfort,90,Discomfort
breast pain,91,Breast pain
all,86,Fall
all,86,Fall
confused,88,Confused
fainting,88,Fainting
"Arthritis,",95,Arthritis
out,86,Gout
"fibromyalgia,",88,Fibromyalgia
all,86,Fall
out,86,Gout
out,86,Gout
old,86,Cold
all,86,Fall
difference,91,Indifference
a fluttering,86,Heart fluttering
ever,89,Fever
heart attack?,88,Heart attack
Could,89,Cold
all,86,Fall
eating,86,Sweating
old,86,Cold
ADHD,100,ADHD
Anxiety,100,Anxiety
all,86,Fall
out,86,Gout
stinging,88,Stinging
bleeding,88,Bleeding
out,86,Gout
addiction,89,Addiction
addiction,89,Addiction
age,86,Rage
anxiety,86,Anxiety
After that,86,After taste
discomfort,90,Discomfort
all,86,Fall
eating,86,Sweating
out,86,Gout
out,86,Gout
out,86,Gout
diarrhea,88,Diarrhea
Could,89,Cold
"panic attacks,",89,Panic attacks
headache,88,Headache
all,86,Fall
all,86,Fall
out,86,Gout
out,86,Gout
all,86,Fall
all,86,Fall
old,86,Cold
all,86,Fall
out,86,Gout
out,86,Gout
anxiety,86,Anxiety
"constipation,",88,Constipation
cataract,88,Cataract
"laryngitis,",86,Laryngitis
ear,86,Fear
Pain,100,Pain
infection,89,Infection
out,86,Gout
ear,86,Fear
all,86,Fall
all,86,Fall
dizziness,89,Dizziness
and throbbing,89,Head throbbing
old,86,Cold
old,86,Cold
hypothroidism,89,Hypothyroidism
all,86,Fall
Hyperthyroidism,90,Hypothyroidism
Hyperthyroidism,90,Hypothyroidism
out,86,Gout
fatigue,86,Fatigue
insomnia,88,Insomnia
blood pressure,88,Low blood pressure
all,86,Fall
weight gain,91,Weight gain
all,86,Fall
"palpitations,",88,Palpitations
mood swings,91,Mood swings
out,86,Gout
all,86,Fall
weight loss,91,Weight loss
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
ever,89,Fever
old,86,Cold
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
all,86,Fall
all,86,Fall
out,86,Gout
out,86,Gout
all,86,Fall
out,86,Gout
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
all,86,Fall
fatigue,86,Fatigue
all,86,Fall
nightmare,89,Nightmare
yeast infections,90,Yeast infection
eating,86,Sweating
out,86,Gout
out,86,Gout
discomfort,90,Discomfort
discomfort?,86,Discomfort
Could,89,Cold
all,86,Fall
dizzy spells,92,Dizzy spells
memory loss?,87,Memory loss
Could,89,Cold
aneurysm,88,Aneurysm
age,86,Rage
eating,86,Sweating
choking,86,Choking
yeast infection,93,Yeast infection
infection,89,Infection
yeast infection?,90,Yeast infection
bleeding,88,Bleeding
nervous,86,Nervous
out,86,Gout
all,86,Fall
vaginal discharge,94,Vaginal discharge
fungal infection,94,Fungal infection
infection,89,Infection
old,86,Cold
sickness,88,Sickness
all,86,Fall
out,86,Gout
age,86,Rage
paralysis,89,Paralysis
blisters,88,Blisters
weight loss,91,Weight loss
out,86,Gout
out,86,Gout
all,86,Fall
out,86,Gout
detached retina,93,Detached retina
"feeling bad,",87,Feeling bad
art,86,Wart
blood pressure,88,Low blood pressure
art,86,Wart
art,86,Wart
art,86,Wart
a pain,86,Ear pain
art,86,Wart
all,86,Fall
age,86,Rage
nutrition,86,Malnutrition
all,86,Fall
all,86,Fall
old,86,Cold
all,86,Fall
all,86,Fall
all,86,Fall
pancreatitis,92,Pancreatitis
Could,89,Cold
pancreatitis,92,Pancreatitis
alcohol abuse,92,Alcohol abuse
eating,86,Sweating
old,86,Cold
old,86,Cold
all,86,Fall
out,86,Gout
out,86,Gout
age,86,Rage
age,86,Rage
out,86,Gout
old,86,Cold
Cysts,89,Cyst
old,86,Cold
all,86,Fall
age,86,Rage
all,86,Fall
all,86,Fall
all,86,Fall
out,86,Gout
tingling,88,Stinging
all,86,Fall
out,86,Gout
abdominal pain,93,Abdominal pain
weight loss,91,Weight loss
tingling,88,Stinging
infection,89,Infection
vomiting,88,Vomiting
bladder infection,94,Bladder infection
infection,89,Infection
blindness,89,Blindness
out,86,Gout
out,86,Gout
ever,89,Fever
out,86,Gout
old,86,Cold
miscariage,86,Miscarriage
out,86,Gout
old,86,Cold
miscarriage,91,Miscarriage
old,86,Cold
eating,86,Sweating
eating,86,Sweating
eating,86,Sweating
old,86,Cold
eating,86,Sweating
eating,86,Sweating
out,86,Gout
old,86,Cold
agitated,88,Agitated
old,86,Cold
mood swings,91,Mood swings
old,86,Cold
out,86,Gout
out,86,Gout
constipation,92,Constipation
all,86,Fall
all,86,Fall
all,86,Fall
eating,86,Sweating
blood pressure,88,Low blood pressure
blood pressure,88,Low blood pressure
eating,86,Sweating
hangover,88,Hangover
eating,86,Sweating
swelling,88,Swelling
nervous,86,Nervous
eating,86,Sweating
out,86,Gout
all,86,Fall
out,86,Gout
all,86,Fall
all,86,Fall
old,86,Cold
all,86,Fall
