word_in_doc,similarity,actual_medical_word
lightheaded,87,Light-headed
out,86,Gout
out,86,Gout
old,86,Cold
nutrition,86,Malnutrition
out,86,Gout
eating,86,Sweating
all,86,Fall
Could,89,Cold
Could,89,Cold
all,86,Fall
"muscle weakness,",90,Muscle weakness
fibromyalgia,92,Fibromyalgia
a pain,86,Ear pain
out,86,Gout
age,86,Rage
all,86,Fall
out,86,Gout
out,86,Gout
discomfort,90,Discomfort
astigmatism,91,Astigmatism
ever,89,Fever
all,86,Fall
bleeding,88,Bleeding
all,86,Fall
out,86,Gout
ever,89,Fever
out,86,Gout
confused,88,Confused
out,86,Gout
age,86,Rage
all,86,Fall
all,86,Fall
all,86,Fall
out,86,Gout
out,86,Gout
mitralvalve prolapse,93,Mitral valve prolapse
out,86,Gout
confused,88,Confused
old,86,Cold
Back in,88,Back pain
Lyme Disease,92,Lyme disease
all,86,Fall
colon cancer,92,Colon cancer
bleeding,88,Bleeding
out,86,Gout
nervous,86,Nervous
Weight Loss,91,Weight loss
ever,89,Fever
an infection,88,Ear infection
infection,89,Infection
old,86,Cold
out,86,Gout
confused,88,Confused
out,86,Gout
vomiting,88,Vomiting
all,86,Fall
infection,89,Infection
all,86,Fall
all,86,Fall
all,86,Fall
Could,89,Cold
old,86,Cold
out,86,Gout
diarrhea,88,Diarrhea
diarrhea,88,Diarrhea
bacterial infection,95,Bacterial infection
infection,89,Infection
all,86,Fall
diarrhea,88,Diarrhea
Ulcerative Colitis,94,Ulcerative colitis
Colitis,100,Colitis
out,86,Gout
ever,89,Fever
all,86,Fall
the infection,86,Chest infection
infection,89,Infection
out,86,Gout
out,86,Gout
all,86,Fall
out,86,Gout
out,86,Gout
all,86,Fall
out,86,Gout
all,86,Fall
the infection,86,Chest infection
infection,89,Infection
out,86,Gout
all,86,Fall
ever,89,Fever
all,86,Fall
all,86,Fall
out,86,Gout
ever,89,Fever
out,86,Gout
ever,89,Fever
eating,86,Sweating
itching,88,Twitching
out,86,Gout
all,86,Fall
"blured vision,",86,Blurred vision
old,86,Cold
"irregular periods,",91,Irregular periods
all,86,Fall
out,86,Gout
old,86,Cold
out,86,Gout
all,86,Fall
all,86,Fall
out,86,Gout
old,86,Cold
age,86,Rage
old,86,Cold
old,86,Cold
all,86,Fall
all,86,Fall
out,86,Gout
all,86,Fall
out,86,Gout
cataracts,89,Cataracts
a bleeding,87,Anal bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
my bleeding,87,Eye bleeding
bleeding,88,Bleeding
ever,89,Fever
"shoulder pain,",89,Shoulder pain
all,86,Fall
abdomnial pain,86,Abdominal pain
ever,89,Fever
out,86,Gout
pneumonia,89,Pneumonia
old,86,Cold
redness,88,Tiredness
arm swelling,92,Ear swelling
swelling,88,Swelling
"sleeplessness,",89,Sleeplessness
headache,88,Headache
out,86,Gout
nauseous,88,Nauseous
all,86,Fall
old,86,Cold
bleeding,88,Bleeding
bladder infection,94,Bladder infection
infection,89,Infection
bleeding,88,Bleeding
out,86,Gout
nauseous,88,Nauseous
watering eye,88,Watering eyes
headache,88,Headache
all,86,Fall
cataract,88,Cataract
ever,89,Fever
headache,88,Headache
swelling,88,Swelling
blood pressure,88,Low blood pressure
preeclampsia,88,Pre-eclampsia
headache,88,Headache
all,86,Fall
all,86,Fall
age,86,Rage
"""bladder infection""",89,Bladder infection
"bed, wetting",87,Bed wetting
all,86,Fall
out,86,Gout
out,86,Gout
"painful urination,",91,Painful urination
stomach ache,92,Stomach ache
out,86,Gout
old,86,Cold
age,86,Rage
out,86,Gout
all,86,Fall
regurgitation,92,Regurgitation
panic attacks,92,Panic attacks
an attack,86,Panic attack
eating,86,Sweating
hallucinations,93,Hallucinations
"visual hallucinations,",93,Visual hallucinations
"hallucinations,",90,Hallucinations
old,86,Cold
old,86,Cold
out,86,Gout
shaking,86,Shaking
out,86,Gout
all,86,Fall
all,86,Fall
out,86,Gout
out,86,Gout
all,86,Fall
all,86,Fall
old,86,Cold
out,86,Gout
allergy,86,Allergy
out,86,Gout
all,86,Fall
bleeding,88,Bleeding
all,86,Fall
old,86,Cold
Could,89,Cold
"vivid dreams,",88,Vivid dreams
weight gain,91,Weight gain
all,86,Fall
head pressure,92,Head pressure
out,86,Gout
all,86,Fall
bloody stools,88,Bloody stool
all,86,Fall
bruising,88,Bruising
and discoloration,86,Hair discoloration
discoloration,87,Gum discoloration
bruising,88,Bruising
bleeding,88,Bleeding
out,86,Gout
misscarriage,87,Miscarriage
out,86,Gout
all,86,Fall
out,86,Gout
"hot flashes,",87,Hot flashes
"weight gain,",87,Weight gain
old,86,Cold
out,86,Gout
old,86,Cold
out,86,Gout
out,86,Gout
Cancer,100,Cancer
Nausea,100,Nausea
all,86,Fall
Headache7),89,Headache
out,86,Gout
ever,89,Fever
out,86,Gout
old,86,Cold
normal behavior,91,Abnormal behaviour
"normal behavior,",88,Abnormal behaviour
shingles,88,Shingles
shingles,88,Shingles
sinus infection,93,Sinus infection
infection,89,Infection
swelling,88,Swelling
all,86,Fall
out,86,Gout
out,86,Gout
ever,89,Fever
out,86,Gout
old,86,Cold
ever,89,Fever
out,86,Gout
eating,86,Sweating
out,86,Gout
swelling,88,Swelling
ear,86,Fear
ear,86,Fear
facial swelling,93,Facial swelling
swelling,88,Swelling
and rash,94,Hand rash
ear,86,Fear
out,86,Gout
ear,86,Fear
a frature,86,Jaw fracture
all,86,Fall
ear,86,Fear
hearing loss,92,Hearing loss
swelling,88,Swelling
out,86,Gout
shoulder pain,92,Shoulder pain
all,86,Fall
out,86,Gout
ever,89,Fever
out,86,Gout
all,86,Fall
sweating,88,Sweating
out,86,Gout
out,86,Gout
out,86,Gout
retinal tear,92,Retinal tear
retinal tear,92,Retinal tear
all,86,Fall
nervous,86,Nervous
all,86,Fall
hypertension,92,Hypertension
fertility,90,Infertility
all,86,Fall
old,86,Cold
bleeding,88,Bleeding
all,86,Fall
tingling,88,Stinging
and burning,87,Pain burning
all,86,Fall
all,86,Fall
am bleeding,87,Gum bleeding
bleeding,88,Bleeding
ever,89,Fever
bleeding,88,Bleeding
miscarriage?,87,Miscarriage
bleeding,88,Bleeding
kidney infection,94,Kidney infection
infection,89,Infection
a fever,88,Hay fever
redness,88,Tiredness
a pressure,87,Head pressure
Could,89,Cold
glaucoma,88,Glaucoma
out,86,Gout
yeast infection,93,Yeast infection
infection,89,Infection
yeast infections,90,Yeast infection
yeast infection,93,Yeast infection
infection,89,Infection
old,86,Cold
out,86,Gout
old,86,Cold
allergy,86,Allergy
all,86,Fall
old,86,Cold
ever,89,Fever
vomiting,88,Vomiting
old,86,Cold
The rush,86,Thrush
chicken pox,86,Chickenpox
all,86,Fall
out,86,Gout
all,86,Fall
tension,86,Tension
paranoia,88,Paranoia
a discomfort,92,Ear discomfort
discomfort,90,Discomfort
miscarriages,87,Miscarriage
out,86,Gout
all,86,Fall
one loses,89,Bone loss
eating,86,Sweating
stomach pain,92,Stomach pain
out,86,Gout
out,86,Gout
SchizophreniaThe,90,Schizophrenia
schizophrenia,92,Schizophrenia
schizophrenia,92,Schizophrenia
schizophrenia,92,Schizophrenia
psychotic,89,Psychotic
hallucinations,93,Hallucinations
schizophrenia,92,Schizophrenia
schizophrenia,92,Schizophrenia
out,86,Gout
schizophrenia,92,Schizophrenia
schizophrenia,92,Schizophrenia
out,86,Gout
schizophrenia,92,Schizophrenia
schizophrenia,92,Schizophrenia
schizophrenia,92,Schizophrenia
"hallucinations,",90,Hallucinations
"schizophrenia,",89,Schizophrenia
all,86,Fall
schizophrenia;,89,Schizophrenia
"schizophrenia,",89,Schizophrenia
"schizophrenia,",89,Schizophrenia
schizophrenia,92,Schizophrenia
"schizophrenia,",89,Schizophrenia
"schizophrenia,",89,Schizophrenia
schizophrenia,92,Schizophrenia
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
nervous,86,Nervous
old,86,Cold
all,86,Fall
all,86,Fall
ulcerative colitis,94,Ulcerative colitis
colitis,86,Colitis
eating,86,Sweating
nauseous,88,Nauseous
nauseous,88,Nauseous
out,86,Gout
out,86,Gout
eating,86,Sweating
staring,86,Staring
old,86,Cold
some incontinence,86,Bowel incontinence
incontinence,92,Incontinence
vaginal discharge,94,Vaginal discharge
yeast infection,93,Yeast infection
infection,89,Infection
cataract,88,Cataract
cataracts,89,Cataracts
out,86,Gout
old,86,Cold
all,86,Fall
ever,89,Fever
age,86,Rage
old,86,Cold
old,86,Cold
confused,88,Confused
out,86,Gout
all,86,Fall
"brain injury,",88,Brain injury
out,86,Gout
all,86,Fall
out,86,Gout
ever,89,Fever
differences,87,Indifference
out,86,Gout
ear,86,Fear
out,86,Gout
old,86,Cold
out,86,Gout
skin irritations,90,Skin irritation
all,86,Fall
out,86,Gout
all,86,Fall
all,86,Fall
out,86,Gout
old,86,Cold
out,86,Gout
out,86,Gout
all,86,Fall
all,86,Fall
vaginal bleeding,94,Vaginal bleeding
bleeding,88,Bleeding
all,86,Fall
infection,89,Infection
period pains,92,Period pains
all,86,Fall
out,86,Gout
out,86,Gout
old,86,Cold
out,86,Gout
all,86,Fall
old,86,Cold
out,86,Gout
all,86,Fall
hepatitis,89,Hepatitis
all,86,Fall
hepatitis,89,Hepatitis
hepatitis,89,Hepatitis
all,86,Fall
all,86,Fall
old,86,Cold
out,86,Gout
confused,88,Confused
old,86,Cold
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
all,86,Fall
all,86,Fall
old,86,Cold
arm pain,88,Ear pain
all,86,Fall
all,86,Fall
old,86,Cold
out,86,Gout
